point_code,name,lat,lon,altitude,nx,ny,region_id,distance_km,network
737,김제,35.80905,126.87765,54,59,88,248,0.0,kma_aws
738,줄포,35.57948,126.67388,16,55,83,246,15.0,kma_aws
739,심원,35.52254,126.54668,12,53,82,255,18.0,kma_aws
741,화순,35.05671,126.98515,94,61,72,41,0.0,kma_aws
742,운남,34.93889,126.33064,12,49,69,26,11.2,kma_aws
743,비금,34.77258,125.94688,8,42,66,52,40.0,kma_aws
744,산이,34.67254,126.43646,5,51,64,52,11.2,kma_aws
745,성전,34.68504,126.72554,49,56,64,43,7.1,kma_aws
746,땅끝,34.38184,126.5159,8,52,57,44,22.4,kma_aws
747,청산도,34.18292,126.85801,24,59,53,50,18.0,kma_aws
748,벌교,34.83694,127.3631,1,67,67,28,21.2,kma_aws
749,도양,34.53471,127.12715,25,63,61,39,15.8,kma_aws
750,백야,34.62781,127.63568,23,72,63,27,15.8,kma_aws
751,와산,33.47934,126.69387,248,56,38,222,15.0,kma_aws
752,서광,33.30456,126.30599,188,49,34,223,20.6,kma_aws
753,어리목,33.39304,126.4959,967,52,36,222,11.2,kma_aws
754,함평,35.06037,126.52732,10,52,72,47,0.0,kma_aws
755,백아면,35.15959,127.08534,187,62,74,31,10.0,kma_aws
756,위도,35.60152,126.28199,4,48,84,,40.3,kma_aws
757,진안주천,35.97436,127.43596,269,68,92,170,15.8,kma_aws
758,동향,35.83521,127.57117,320,71,89,250,15.8,kma_aws
759,뱀사골,35.37162,127.57826,478,71,79,247,15.8,kma_aws
760,복흥,35.42739,126.9327,281,60,80,36,11.2,kma_aws
761,태인,35.65081,126.93462,14,60,85,246,14.1,kma_aws
762,임실강진,35.55169,127.18695,146,64,83,253,11.2,kma_aws
763,여산,36.0592,127.062,38,62,94,167,15.0,kma_aws
764,신덕,35.67359,127.14143,211,63,86,242,15.0,kma_aws
765,복내,34.89234,127.13448,109,63,69,40,15.8,kma_aws
766,여수산단,34.84946,127.71496,78,74,68,27,11.2,kma_aws
767,포두,34.58853,127.39745,3,68,62,39,10.0,kma_aws
768,곡성,35.28886,127.28531,100,66,77,37,0.0,kma_aws
769,염산,35.19932,126.38336,5,50,75,48,14.1,kma_aws
770,다도,34.92863,126.82001,99,58,69,29,14.1,kma_aws
771,안좌,34.72693,126.14463,3,46,65,52,20.6,kma_aws
772,수유,34.53208,126.23964,1,47,61,51,11.2,kma_aws
773,학산,34.7085,126.63593,72,54,64,45,14.1,kma_aws
774,전남도청,34.81747,126.46618,11,51,67,26,5.0,kma_aws
775,월야,35.17776,126.63912,39,54,75,48,14.1,kma_aws
776,현산,34.45996,126.5571,17,53,59,44,11.2,kma_aws
777,관산,34.55633,126.93462,37,60,61,42,15.8,kma_aws
